Date,Open,High,Low,Close,Adj Close,Volume
2023-09-14,104.750000,105.430000,104.565002,105.394997,105.394997,24243
2023-09-15,105.400002,105.419998,105.084999,105.324997,105.324997,9744
2023-09-18,105.260002,105.300003,105.199997,105.292000,105.292000,8977
2023-09-19,104.760002,104.889999,104.464996,104.832001,104.832001,10307
2023-09-20,104.790001,105.125000,104.345001,104.788002,104.788002,15432
2023-09-21,105.129997,105.440002,104.959999,105.043999,105.043999,16093
2023-09-22,105.084999,105.464996,104.995003,105.260002,105.260002,13220
2023-09-25,105.260002,105.785004,105.199997,105.690002,105.690002,12605
2023-09-26,105.644997,105.959999,105.559998,105.930000,105.930000,11634
2023-09-27,105.910004,106.540001,105.870003,106.365997,106.365997,18684
2023-09-28,106.385002,106.474998,105.735001,105.932999,105.932999,19728
2023-09-29,105.875000,105.940002,105.334999,105.815002,105.815002,25038
2023-10-02,105.879997,106.739998,105.750000,106.606003,106.606003,18681
2023-10-03,106.709999,107.050003,106.510002,106.719002,106.719002,21661
2023-10-04,106.809998,106.970001,106.245003,106.529999,106.529999,16093
2023-10-05,106.525002,106.610001,106.050003,106.065002,106.065002,16177
2023-10-06,106.099998,106.705002,105.680000,105.783997,105.783997,22168
2023-10-09,106.004997,106.339996,105.760002,105.810997,105.810997,14452
2023-10-10,105.714996,105.989998,105.410004,105.556999,105.556999,14802
2023-10-11,105.504997,105.764999,105.305000,105.569000,105.569000,15336
2023-10-12,105.445000,106.375000,105.290001,106.366997,106.366997,15229
2023-10-13,106.290001,106.565002,106.059998,106.433998,106.433998,13276
2023-10-16,106.404999,106.415001,105.974998,106.033997,106.033997,14011
2023-10-17,106.040001,106.315002,105.809998,106.045998,106.045998,16445
2023-10-18,106.019997,106.434998,105.805000,106.353996,106.353996,13440
2023-10-19,106.370003,106.485001,105.745003,106.045998,106.045998,17783
2023-10-20,106.029999,106.230003,105.885002,105.987999,105.987999,10754
2023-10-23,105.985001,106.150002,105.315002,105.334000,105.334000,15883
2023-10-24,105.394997,106.135002,105.154999,106.080002,106.080002,19120
2023-10-25,106.050003,106.394997,105.964996,106.351997,106.351997,11871
2023-10-26,106.400002,106.779999,106.360001,106.421997,106.421997,16599
2023-10-27,106.419998,106.625000,106.135002,106.379997,106.379997,15798
2023-10-30,106.379997,106.529999,105.875000,105.933998,105.933998,13059
2023-10-31,105.995003,106.690002,105.724998,106.494003,106.494003,18445
2023-11-01,106.529999,106.985001,106.449997,106.714996,106.714996,21851
2023-11-02,106.334999,106.334999,105.650002,105.976997,105.976997,16204
2023-11-03,106.044998,106.074997,104.779999,104.859001,104.859001,26327
2023-11-06,104.915001,105.120003,104.690002,105.045998,105.045998,13611
2023-11-07,105.129997,105.610001,105.129997,105.373001,105.373001,14564
2023-11-08,105.440002,105.714996,105.294998,105.447998,105.447998,11930
2023-11-09,105.430000,105.830002,105.239998,105.779999,105.779999,16141
2023-11-10,105.760002,105.959999,105.595001,105.724998,105.724998,10683
2023-11-13,105.635002,105.820000,105.445000,105.502998,105.502998,10155
2023-11-14,105.540001,105.764999,103.839996,103.906998,103.906998,30999
2023-11-15,104.044998,104.370003,103.809998,104.264999,104.264999,20711
2023-11-16,104.224998,104.440002,103.879997,104.233002,104.233002,15825
2023-11-17,104.250000,104.425003,103.680000,103.794998,103.794998,15849
2023-11-20,103.709999,103.855003,103.254997,103.317001,103.317001,14124
2023-11-21,103.309998,103.599998,103.070000,103.448997,103.448997,15211
2023-11-22,103.434998,104.114998,103.375000,103.824997,103.824997,18382
2023-11-23,103.739998,103.779999,103.430000,103.824997,103.824997,6686
2023-11-24,103.629997,103.745003,103.254997,103.304001,103.304001,9236
2023-11-27,103.315002,103.440002,103.059998,103.105003,103.105003,11782
2023-11-28,103.044998,103.224998,102.514999,102.649002,102.649002,17213
2023-11-29,102.495003,102.930000,102.379997,102.676003,102.676003,16035
2023-11-30,102.660004,103.519997,102.650002,103.428001,103.428001,18870
2023-12-01,103.290001,103.665001,103.050003,103.199997,103.199997,16306
2023-12-04,103.114998,103.800003,102.980003,103.647003,103.647003,15891
2023-12-05,103.525002,104.040001,103.495003,103.995003,103.995003,15728
2023-12-06,103.894997,104.190002,103.824997,104.108002,104.108002,10101
2023-12-07,104.110001,104.169998,103.214996,103.503998,103.503998,19231
2023-12-08,103.500000,104.264999,103.410004,103.983002,103.983002,17518
2023-12-11,103.964996,104.235001,103.904999,104.064003,104.064003,12759
2023-12-12,104.004997,104.074997,103.445000,103.838997,103.838997,12438
2023-12-13,103.790001,104.010002,102.739998,102.848000,102.848000,26925
2023-12-14,102.739998,102.790001,101.764999,101.940002,101.940002,19295
2023-12-15,102.035004,102.644997,101.849998,102.547997,102.547997,7586
2023-12-18,102.550003,102.550003,102.550003,102.536003,102.536003,8319
2023-12-19,102.105003,102.260002,101.680000,101.795998,101.795998,11340
2023-12-20,101.815002,102.169998,101.785004,102.040001,102.040001,9505
2023-12-21,101.989998,102.095001,101.375000,101.477997,101.477997,10663
2023-12-22,101.425003,101.540001,101.074997,101.337997,101.337997,0
2023-12-26,101.309998,101.410004,101.095001,101.103996,101.103996,5097
2023-12-27,101.184998,101.214996,100.495003,100.653999,100.653999,9394
2023-12-28,100.565002,100.985001,100.320000,100.913002,100.913002,12280
2023-12-29,100.864998,101.114998,100.750000,101.028999,101.028999,0
2024-01-02,101.065002,101.940002,101.029999,101.890999,101.890999,14739
2024-01-03,101.845001,102.419998,101.769997,102.195000,102.195000,11860
2024-01-04,102.165001,102.245003,101.864998,102.135002,102.135002,10795
2024-01-05,102.110001,102.830002,101.614998,102.128998,102.128998,18715
2024-01-08,102.169998,102.339996,101.785004,101.928001,101.928001,11739
2024-01-09,101.934998,102.385002,101.834999,102.283997,102.283997,12113
2024-01-10,102.230003,102.360001,102.059998,102.080002,102.080002,9352
2024-01-11,102.040001,102.510002,101.775002,102.024002,102.024002,18689
2024-01-12,102.035004,102.320000,101.815002,102.151001,102.151001,15342
2024-01-16,102.559998,103.175003,102.495003,103.112000,103.112000,21045
2024-01-17,103.070000,103.449997,103.025002,103.206001,103.206001,14749
2024-01-18,103.065002,103.404999,102.925003,103.311996,103.311996,12405
2024-01-19,103.139999,103.324997,103.010002,103.069000,103.069000,9612
2024-01-22,103.035004,103.160004,102.900002,103.117996,103.117996,8962
2024-01-23,103.139999,103.605003,102.779999,103.402000,103.402000,13811
2024-01-24,103.305000,103.339996,102.555000,103.039001,103.039001,20412
2024-01-25,103.139999,103.485001,102.915001,103.370003,103.370003,15262
2024-01-26,103.345001,103.535004,102.934998,103.234001,103.234001,14223
2024-01-29,103.305000,103.639999,103.214996,103.420998,103.420998,12273
2024-01-30,103.180000,103.434998,102.970001,103.214996,103.214996,9412
2024-01-31,103.250000,103.565002,102.754997,103.088997,103.088997,25377
2024-02-01,103.379997,103.654999,102.839996,102.872002,102.872002,23798
2024-02-02,102.894997,103.894997,102.735001,103.780998,103.780998,31483
2024-02-05,103.910004,104.464996,103.839996,104.319000,104.319000,20759
2024-02-06,104.294998,104.449997,103.995003,104.068001,104.068001,15237
2024-02-07,103.995003,104.025002,103.805000,103.917000,103.917000,11263
2024-02-08,103.885002,104.300003,103.834999,104.037003,104.037003,11236
2024-02-09,104.044998,104.135002,103.830002,103.992996,103.992996,9457
2024-02-12,103.974998,104.150002,103.764999,104.046997,104.046997,9483
2024-02-13,104.019997,104.855003,103.364998,104.849998,104.849998,22571
2024-02-14,104.750000,104.875000,104.544998,104.612000,104.612000,12315
2024-02-15,104.555000,104.625000,104.080002,104.199997,104.199997,14850
2024-02-16,104.239998,104.580002,104.065002,104.181999,104.181999,13553
2024-02-20,104.250000,104.320000,103.690002,103.977997,103.977997,15476
2024-02-21,103.949997,104.125000,103.845001,103.912003,103.912003,8815
2024-02-22,103.849998,104.059998,103.114998,103.875000,103.875000,15401
2024-02-23,103.885002,103.974998,103.690002,103.859001,103.859001,8633
2024-02-26,103.889999,103.949997,103.629997,103.750999,103.750999,9869
2024-02-27,103.714996,103.860001,103.540001,103.759003,103.759003,9010
2024-02-28,103.750000,104.169998,103.750000,103.903999,103.903999,12247
2024-02-29,103.889999,104.144997,103.595001,104.098000,104.098000,18004
2024-03-01,104.059998,104.239998,103.779999,103.799004,103.799004,16876
2024-03-04,103.794998,103.915001,103.675003,103.778000,103.778000,11539
2024-03-05,103.779999,103.900002,103.519997,103.752998,103.752998,13599
